,횟수
"
카카오게임즈,",366
신작,107
"
카카오게임즈",103
매출,90
카카오게임즈,69
실적,60
영업익,58
"카카오게임즈,",52
"
[특징주]",47
주가,46
상장,44
우마무스메,43
"
""카카오게임즈,",41
'우마무스메',40
"
[클릭",31
오딘,30
대만,28
‘오딘’,28
‘우마무스메’,28
라이온하트,26
1위,26
"“카카오게임즈,",26
'오딘',25
1분기,24
"...
",24
목표가,23
"공개
",23
게임,23
출시,23
하반기,22
규모,22
자회사,21
흥행,21
2분기,20
3분기,20
10%,18
"투자
",18
"↑
",18
"급등
",17
"출시
",17
메타버스,17
연매출,16
"
[특징주]카카오게임즈,",16
개발사,16
초반,15
"하락
",15
성과,14
"급락
",14
소식에,13
"
코스닥",13
"""카카오게임즈,",13
영상,13
주간,12
"e종목]""카카오게임즈,",12
지분,12
"강세
",12
e종목],12
등,12
사회공헌,11
1Q,11
52주,11
반등,11
넘게,11
P2E,10
자사주,10
성장,10
전망에,10
'1조,10
취득,10
"'카카오게임즈'
",10
4Q,10
디지털,10
영업이익,10
기관,10
기대작,9
1조,9
900%,9
컨센서스,9
기대,9
"증가
",9
하락,9
3Q,9
"
""카카오게임즈",9
4%대,9
첫,9
사업,9
"
현대차증권",9
4분기,9
400억,9
최대,9
"약세
",9
프렌즈게임,9
글로벌,8
"↓
",8
모멘텀,8
500억,8
"인수
",8
목표주가,8
"카카오게임즈
",8
하회,8
